PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Title
1,0,Third class,Braund Owen Harris,male,22.0,1,0,7.25,Southampton,Mr
2,1,First class,Cumings John Bradley (Florence Briggs Thayer),female,38.0,1,0,71.28,Cherbourg,Mrs
3,1,Third class,Heikkinen Laina,female,26.0,0,0,7.92,Southampton,Miss
4,1,First class,Futrelle Jacques Heath (Lily May Peel),female,35.0,1,0,53.1,Southampton,Mrs
5,0,Third class,Allen William Henry,male,35.0,0,0,8.05,Southampton,Mr
6,0,Third class,Moran James,male,29.5,0,0,8.46,Queenstown,Mr
7,0,First class,McCarthy Timothy J,male,54.0,0,0,51.86,Southampton,Mr
8,0,Third class,Palsson Gosta Leonard,male,2.0,3,1,21.08,Southampton,Master
9,1,Third class,Johnson Oscar W (Elisabeth Vilhelmina Berg),female,27.0,0,2,11.13,Southampton,Mrs
10,1,Second class,Nasser Nicholas (Adele Achem),female,14.0,1,0,30.07,Cherbourg,Mrs
11,1,Third class,Sandstrom Marguerite Rut,female,4.0,1,1,16.7,Southampton,Miss
12,1,First class,Bonnell Elizabeth,female,58.0,0,0,26.55,Southampton,Miss
13,0,Third class,Saundercock William Henry,male,20.0,0,0,8.05,Southampton,Mr
14,0,Third class,Andersson Anders Johan,male,39.0,1,5,31.28,Southampton,Mr
15,0,Third class,Vestrom Hulda Amanda Adolfina,female,14.0,0,0,7.85,Southampton,Miss
16,1,Second class,Hewlett (Mary D Kingcome),female,55.0,0,0,16.0,Southampton,Mrs
17,0,Third class,Rice Eugene,male,2.0,4,1,29.12,Queenstown,Master
18,1,Second class,Williams Charles Eugene,male,29.5,0,0,13.0,Southampton,Mr
19,0,Third class,Vander Planke Julius (Emelia Maria Vandemoortele),female,31.0,1,0,18.0,Southampton,Mrs
20,1,Third class,Masselmani Fatima,female,29.5,0,0,7.22,Cherbourg,Mrs
21,0,Second class,Fynney Joseph J,male,35.0,0,0,26.0,Southampton,Mr
22,1,Second class,Beesley Lawrence,male,34.0,0,0,13.0,Southampton,Mr
23,1,Third class,"McGowan Anna ""Annie""",female,15.0,0,0,8.03,Queenstown,Miss
24,1,First class,Sloper William Thompson,male,28.0,0,0,35.5,Southampton,Mr
25,0,Third class,Palsson Torborg Danira,female,8.0,3,1,21.08,Southampton,Miss
26,1,Third class,Asplund Carl Oscar (Selma Augusta Emilia Johansson),female,38.0,1,5,31.39,Southampton,Mrs
27,0,Third class,Emir Farred Chehab,male,29.5,0,0,7.22,Cherbourg,Mr
28,0,First class,Fortune Charles Alexander,male,19.0,3,2,263.0,Southampton,Mr
29,1,Third class,"O'Dwyer Ellen ""Nellie""",female,29.5,0,0,7.88,Queenstown,Miss
30,0,Third class,Todoroff Lalio,male,29.5,0,0,7.9,Southampton,Mr
31,0,First class,Uruchurtu Manuel E,male,40.0,0,0,27.72,Cherbourg,Don
32,1,First class,Spencer William Augustus (Marie Eugenie),female,29.5,1,0,146.52,Cherbourg,Mrs
33,1,Third class,Glynn Mary Agatha,female,29.5,0,0,7.75,Queenstown,Miss
34,0,Second class,Wheadon Edward H,male,66.0,0,0,10.5,Southampton,Mr
35,0,First class,Meyer Edgar Joseph,male,28.0,1,0,82.17,Cherbourg,Mr
36,0,First class,Holverson Alexander Oskar,male,42.0,1,0,52.0,Southampton,Mr
37,1,Third class,Mamee Hanna,male,29.5,0,0,7.23,Cherbourg,Mr
38,0,Third class,Cann Ernest Charles,male,21.0,0,0,8.05,Southampton,Mr
39,0,Third class,Vander Planke Augusta Maria,female,18.0,2,0,18.0,Southampton,Miss
40,1,Third class,Nicola-Yarred Jamila,female,14.0,1,0,11.24,Cherbourg,Miss
41,0,Third class,Ahlin Johan (Johanna Persdotter Larsson),female,40.0,1,0,9.48,Southampton,Mrs
42,0,Second class,Turpin William John Robert (Dorothy Ann Wonnacott),female,27.0,1,0,21.0,Southampton,Mrs
43,0,Third class,Kraeff Theodor,male,29.5,0,0,7.9,Cherbourg,Mr
44,1,Second class,Laroche Simonne Marie Anne Andree,female,3.0,1,2,41.58,Cherbourg,Miss
45,1,Third class,Devaney Margaret Delia,female,19.0,0,0,7.88,Queenstown,Miss
46,0,Third class,Rogers William John,male,29.5,0,0,8.05,Southampton,Mr
47,0,Third class,Lennon Denis,male,29.5,1,0,15.5,Queenstown,Mr
48,1,Third class,O'Driscoll Bridget,female,29.5,0,0,7.75,Queenstown,Miss
49,0,Third class,Samaan Youssef,male,29.5,2,0,21.68,Cherbourg,Mr
50,0,Third class,Arnold-Franchi Josef (Josefine Franchi),female,18.0,1,0,17.8,Southampton,Mrs
51,0,Third class,Panula Juha Niilo,male,7.0,4,1,39.69,Southampton,Master
52,0,Third class,Nosworthy Richard Cater,male,21.0,0,0,7.8,Southampton,Mr
53,1,First class,Harper Henry Sleeper (Myna Haxtun),female,49.0,1,0,76.73,Cherbourg,Mrs
54,1,Second class,Faunthorpe Lizzie (Elizabeth Anne Wilkinson),female,29.0,1,0,26.0,Southampton,Mrs
55,0,First class,Ostby Engelhart Cornelius,male,65.0,0,1,61.98,Cherbourg,Mr
56,1,First class,Woolner Hugh,male,29.5,0,0,35.5,Southampton,Mr
57,1,Second class,Rugg Emily,female,21.0,0,0,10.5,Southampton,Miss
58,0,Third class,Novel Mansouer,male,28.5,0,0,7.23,Cherbourg,Mr
59,1,Second class,West Constance Mirium,female,5.0,1,2,27.75,Southampton,Miss
60,0,Third class,Goodwin William Frederick,male,11.0,5,2,46.9,Southampton,Master
61,0,Third class,Sirayanian Orsen,male,22.0,0,0,7.23,Cherbourg,Mr
62,1,First class,Icard Amelie,female,38.0,0,0,80.0,Queenstown,Miss
63,0,First class,Harris Henry Birkhardt,male,45.0,1,0,83.48,Southampton,Mr
64,0,Third class,Skoog Harald,male,4.0,3,2,27.9,Southampton,Master
65,0,First class,Stewart Albert A,male,29.5,0,0,27.72,Cherbourg,Mr
66,1,Third class,Moubarek Gerios,male,29.5,1,1,15.25,Cherbourg,Master
